clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_hiking_driving_start_02,v1.1,1.1,2fa8bc4f5012,34,1.089,0,0,0,0,0,0,0,2.30302,7304.09,0.201015,0.0322036,0,0.0322036,0.712791,,,,,,0
anim_hiking_driving_start_03,v1.1,1.1,2fa8bc4f5012,88,2.871,0,0,0,0,0,0,0.0229885,4,20444.5,0.503182,0.526377,0,0.066,0.973965,0.0109143,,,,LOWCORR,15.92
anim_hiking_driving_start_04,v1.1,1.1,2fa8bc4f5012,41,1.32,0,0,0,0,0,0,0,2.2954,8436.62,0.432042,0.362522,0,0.066,0.987243,,,,,,0
anim_hiking_edgesquintgetin_01,v1.1,1.1,2fa8bc4f5012,75,2.442,0,0,0,0,0,0,0,1.48393,3508.76,0.143897,0.532911,0,0.066,,,,,,,0
anim_hiking_edgesquintgetout_01,v1.1,1.1,2fa8bc4f5012,25,0.792,0,0,0,0,0,0,0,1.283,8243.8,0.137731,0.455195,0,0.066,,,,,,SHORT,10
anim_hiking_edgesquintloop_01,v1.1,1.1,2fa8bc4f5012,35,1.122,0,0,0,0,0,0,0,0.507407,2493.37,0.0470058,0.00923902,0,0.00923902,,,,,,STATIC,50
anim_hiking_getin_01,v1.1,1.1,2fa8bc4f5012,35,1.122,0,0,0,0,0,0,0,3.24931,18318.1,0.319187,0.0805116,0,0.066,0.961443,-0.326981,,,,LOWCORR,15
anim_hiking_getin_02,v1.1,1.1,2fa8bc4f5012,48,1.551,0,0,0,0,0,0,0,3.82645,33590.9,0.355865,0.0805116,0,0.066,0.89775,0.580634,0.983618,,,,0
anim_hiking_getin_03,v1.1,1.1,2fa8bc4f5012,37,1.188,0,0,0,0,0,0,0.0277778,4,33953.8,0.63582,0.0805116,0,0.066,0.976916,0.0435255,,,,LOWCORR,16.111
anim_hiking_lookaround_01,v1.1,1.1,2fa8bc4f5012,121,3.96,0,0,0,0,0,0,0.025,4,19369.5,0.736489,0.0351392,0,0.0301129,0.945888,,0.996198,,,,1
anim_hiking_lookaround_02,v1.1,1.1,2fa8bc4f5012,90,2.937,0,0,0,0,0,0,0.011236,4,20525,0.445407,0,0,0,0.968502,-0.358079,,,,LOWCORR,15.449
anim_hiking_lookaround_03,v1.1,1.1,2fa8bc4f5012,151,4.95,0,0,0,0,0,0,0,3.47642,13038.1,0.960876,0.0805116,0,0.066,0.94698,,0.913099,,,,0
anim_hiking_observe_01,v1.1,1.1,2fa8bc4f5012,141,4.62,0,0,0,0,0,0,0.0785714,4,23324.6,1.09493,0.559314,0,0.066,0.948139,0.526037,0.919303,,,RATE,3.143
anim_hiking_react_01,v1.1,1.1,2fa8bc4f5012,35,1.122,0,0,0,0,0,0,0,2.98473,15818,0.532598,0.0805116,0,0.066,0.963228,-0.924823,,,,LOWCORR,15
anim_hiking_react_02,v1.1,1.1,2fa8bc4f5012,178,5.841,0,0,0,0,0,0,0.0282486,4,17973.2,0.75932,0.230321,0,0.066,0.96125,0.127551,0.889334,,,LOWCORR,16.13
anim_hiking_react_03,v1.1,1.1,2fa8bc4f5012,93,3.036,0,0,0,0,0,0,0.0434783,4,19944.6,0.720367,0.149809,0,0.066,0.961651,0.291603,0.932817,8.29471,33.6483,LOWCORR;DYN,41.739
anim_hiking_react_04,v1.1,1.1,2fa8bc4f5012,41,1.32,0,0,0,0,0,0,0,3.7387,25693.1,0.448074,0.0805116,0,0.066,0.935202,-0.0219547,,,,LOWCORR,15
anim_hiking_react_05,v1.1,1.1,2fa8bc4f5012,74,2.409,0,0,0,0,0,0,0.123288,4,25548,0.937957,0.474637,0,0.066,0.954807,0.146876,0.982898,,,RATE;LOWCORR,19.932
anim_hiking_rtnewarea_01,v1.1,1.1,2fa8bc4f5012,91,2.97,0,0,0,0,0,0,0.0444444,4,32448.8,0.697894,0.547147,0,0.066,0.990793,0.87172,,,,,1.778
anim_hiking_rtnewarea_02,v1.1,1.1,2fa8bc4f5012,86,2.805,0,0,0,0,0,0,0.105882,4,41644.8,0.947261,0.547147,0,0.066,0.985923,-0.382324,0.977231,,,RATE;LOWCORR,19.235
anim_hiking_rtnewarea_03,v1.1,1.1,2fa8bc4f5012,73,2.376,0,0,0,0,0,0,0.0972222,4,35118.8,0.904341,0.547147,0,0.066,0.966931,0.739416,,,,RATE,3.889
anim_hiking_rtpmarker_01,v1.1,1.1,2fa8bc4f5012,98,3.201,0,0,0,0,0,0,0.0206186,4,18849.6,0.519715,0.595199,0,0.066,0.953506,0.724533,,,,,0.825
anim_keepalive_blink_01,v1.1,1.1,2fa8bc4f5012,19,0.594,0,0,0,0,0,0,0,0.862273,6324.37,0.0668427,0,0,0,,,,,,SHORT,10
anim_keepalive_eyes_01_forward,v1.1,1.1,2fa8bc4f5012,161,5.28,0,0,0,0,0,0,0,2.82913,5587.37,0.566523,0.0878911,0,0.066,0.89523,,0.963974,,,,0
anim_keepalive_eyes_01_right,v1.1,1.1,2fa8bc4f5012,331,10.89,0,0,0,0,0,0,0,1.78066,4177.72,0.79118,0.0819631,0,0.0481365,0.933162,,0.987792,,,,0
anim_keepalive_eyes_01_updown,v1.1,1.1,2fa8bc4f5012,211,6.93,0,0,0,0,0,0,0,1.76072,5132.27,0.313633,0.0467027,0,0.0221024,0.964303,,,,,,0
anim_keepalive_eyesonly_loop_02,v1.1,1.1,2fa8bc4f5012,301,9.9,0,0,0,0,0,0,0,1.01095,2646.03,0.101801,0.298416,0,0.066,,,,,,,0
anim_keepalive_eyesonly_loop_03,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0,2.46326,5745.68,0.18127,0.0801992,0,0.0517839,,,,,,,0
anim_keepaway_fakeout_01,v1.1,1.1,2fa8bc4f5012,121,3.96,0,0,0,0,0,0,0.0583333,4,33063.5,1.31847,0.423562,0,0.066,0.923613,0.84601,0.928084,,,RATE,2.333
anim_keepaway_fakeout_02,v1.1,1.1,2fa8bc4f5012,156,5.115,0,0,0,0,0,0,0.0709677,4,22019,1.70321,0.571031,0,0.066,0.876461,0.979332,0.852999,,,RATE,2.839
anim_keepaway_fakeout_03,v1.1,1.1,2fa8bc4f5012,47,1.518,0,0,0,0,0,0,0.0217391,4,14904.1,0.45795,0.0127461,0,0.0113236,0.970096,0.463196,,,,,0.87
anim_keepaway_fakeout_04,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0,3.84379,28356.8,0.548991,0.466636,0,0.066,0.943002,-0.400794,,,,LOWCORR,15
anim_keepaway_fakeout_05,v1.1,1.1,2fa8bc4f5012,53,1.716,0,0,0,0,0,0,0,2.06587,9374.99,0.221557,0.603879,0,0.066,0.887505,0.126168,,,,LOWCORR,15
anim_keepaway_fakeout_06,v1.1,1.1,2fa8bc4f5012,70,2.277,0,0,0,0,0,0,0.115942,4,32414.5,1.30815,0.581534,0,0.066,0.253445,0.981586,,7.81285,28.193,RATE;LOWCORR;DYN,44.638
anim_keepaway_getin_01,v1.1,1.1,2fa8bc4f5012,81,2.64,0,0,0,0,0,0,0.0125,4,14584,0.731968,0.540648,0,0.066,0.956531,0.812139,,,,,0.5
anim_keepaway_getin_02,v1.1,1.1,2fa8bc4f5012,59,1.914,0,0,0,0,0,0,0,1.80204,7870,0.823874,0.0805116,0,0.066,0.906865,,,,,,0
anim_keepaway_getin_03,v1.1,1.1,2fa8bc4f5012,61,1.98,0,0,0,0,0,0,0,2.31794,16419.5,0.276976,0.280335,0,0.066,0.71779,0.640786,,,,,0
anim_keepaway_getout_01,v1.1,1.1,2fa8bc4f5012,33,1.056,0,0,0,0,0,0,0,3.06689,10546,0.592407,0.00729084,0,0.00729084,0.978283,,,,,,0
anim_keepaway_getout_02,v1.1,1.1,2fa8bc4f5012,24,0.759,0,0,0,0,0,0,0,1.99293,10188.2,0.638243,0,0,0,0.995837,,0.995303,,,SHORT,10
anim_keepaway_getout_03,v1.1,1.1,2fa8bc4f5012,44,1.419,0,0,0,0,0,0,0.0465116,4,10717.6,0.773277,0.0247768,0,0.0183384,0.985338,,,,,,1.86
anim_keepaway_getready_01,v1.1,1.1,2fa8bc4f5012,57,1.848,0,0,0,0,0,0,0.0178571,4,33773.4,0.356046,0.529122,0,0.066,0.959528,,0.892602,,,,0.714
anim_keepaway_getready_02,v1.1,1.1,2fa8bc4f5012,44,1.419,0,0,0,0,0,0,0,2.43372,14157.5,0.38391,0.581534,0,0.066,0.768116,-0.447736,,,,LOWCORR,15
anim_keepaway_getready_03,v1.1,1.1,2fa8bc4f5012,38,1.221,0,0,0,0,0,0,0,1.97573,8700.68,0.342087,0.368776,0,0.066,0.99587,,,,,,0
anim_keepaway_idle_01,v1.1,1.1,2fa8bc4f5012,127,4.158,0,0,0,0,0,0,0,1.82842,4196.53,0.349762,0.312553,0,0.066,0.947613,0.376023,0.999927,,,,0
anim_keepaway_idle_02,v1.1,1.1,2fa8bc4f5012,133,4.356,0,0,0,0,0,0,0,2.30072,10039,0.286839,0.0385433,0,0.0385433,0.888157,0.164184,,,,LOWCORR,15
anim_keepaway_idle_03,v1.1,1.1,2fa8bc4f5012,161,5.28,0,0,0,0,0,0,0,2.21429,4307.99,0.322715,0.0447232,0,0.0270908,0.986256,,,,,,0
anim_keepaway_losegame_01,v1.1,1.1,2fa8bc4f5012,202,6.633,0,0,0,0,0,0,0.039801,4,18359.8,1.01761,0.686553,0,0.066,0.965888,0.363275,0.993152,,,,1.592
anim_keepaway_losegame_02,v1.1,1.1,2fa8bc4f5012,178,5.841,0,0,0,0,0,0,0.0112994,4,10757.8,1.01684,0.517244,0,0.066,0.989504,0.0117445,0.999761,,,LOWCORR,15.452
anim_keepaway_losegame_03,v1.1,1.1,2fa8bc4f5012,179,5.874,0,0,0,0,0,0,0.0898876,4,28424.7,1.33721,0.624232,0,0.066,0.94557,0.684626,0.968439,,,RATE,3.596
